,StateCode,1990,2015,FactorChange,1990_pop,2015_pop,1990ProportionOfTotalConsumption,2015ProportionOfTotalConsumption,DifferenceOfProportion,1990ConsumptionPerCapita,2015ConsumptionPerCapita,ChangeConsumptionPerCapita
0,AL,145304,178649,1.22948,4.05e+06,4.854e+06,8.72413,9.35551,0.631379,0.0358775,0.0368045,0.00092696
1,AR,71100,87536,1.23117,2.357e+06,2.978e+06,8.3069,8.2933,-0.0135946,0.0301655,0.0293942,-0.00077124
2,AZ,13741,33730,2.4547,3.684e+06,6.818e+06,1.4635,2.34258,0.87908,0.00372991,0.0049472,0.00121729
3,CA,222587,288539,1.2963,2.996e+07,3.8994e+07,2.98969,3.75881,0.76912,0.00742947,0.00739957,-2.98983e-05
4,CO,11777,36124,3.06733,3.308e+06,5.449e+06,1.26239,2.44044,1.17805,0.00356016,0.00662947,0.00306932
5,CT,28711,34951,1.21734,3.292e+06,3.585e+06,3.73702,4.6502,0.913176,0.00872145,0.00974923,0.00102779
6,DE,1569,6139,3.91268,670000,944000,0.614225,2.20815,1.59393,0.00234179,0.00650318,0.00416139
7,FL,170933,258439,1.51193,1.3033e+07,2.0245e+07,5.21001,6.09282,0.882816,0.0131154,0.0127656,-0.000349828
8,GA,188344,265648,1.41044,6.513e+06,1.0199e+07,8.44705,9.31701,0.869959,0.0289182,0.0260465,-0.00287169
9,HI,25924,11485,0.443026,1.113e+06,1.425e+06,8.06543,4.06667,-3.99877,0.023292,0.00805965,-0.0152324
10,IA,64850,236141,3.64134,2.781e+06,3.122e+06,6.85611,15.7975,8.94138,0.023319,0.0756377,0.0523188
11,ID,24350,38350,1.57495,1.012e+06,1.653e+06,6.00621,7.31364,1.30743,0.0240613,0.0232002,-0.000861023
12,IL,101160,146382,1.44703,1.1453e+07,1.2839e+07,2.82477,3.7127,0.887926,0.00883262,0.0114014,0.00256873
13,IN,55709,115072,2.06559,5.558e+06,6.613e+06,2.23515,4.04277,1.80762,0.0100232,0.0174009,0.00737767
14,KS,13652,44134,3.23279,2.481e+06,2.907e+06,1.28013,4.07655,2.79642,0.00550262,0.015182,0.00967935
15,KY,20277,53157,2.62154,3.694e+06,4.425e+06,1.38617,3.08072,1.69454,0.00548917,0.0120129,0.00652371
16,LA,118502,134094,1.13158,4.222e+06,4.669e+06,3.07134,3.14856,0.0772171,0.0280677,0.0287201,0.000652328
17,MA,52055,58973,1.1329,6.023e+06,6.784e+06,3.70013,4.08157,0.381444,0.0086427,0.00869295,5.0251e-05
18,MD,26519,51036,1.92451,4.8e+06,5.995e+06,2.08981,3.64682,1.55701,0.00552479,0.00851309,0.0029883
19,ME,108995,104184,0.95586,1.232e+06,1.329e+06,23.8359,25.6833,1.84737,0.08847,0.0783928,-0.0100772
20,MI,84428,137163,1.62462,9.311e+06,9.918e+06,2.93754,4.95648,2.01894,0.00906755,0.0138297,0.00476215
21,MN,51571,155541,3.01606,4.39e+06,5.482e+06,3.68098,8.78802,5.10704,0.0117474,0.028373,0.0166257
22,MO,20139,69529,3.45246,5.129e+06,6.076e+06,1.35739,3.80614,2.44875,0.0039265,0.0114432,0.00751672
23,MS,84840,71514,0.842928,2.579e+06,2.989e+06,8.24481,6.31364,-1.93117,0.0328965,0.0239257,-0.00897074
24,MT,11767,9013,0.765956,800000,1.032e+06,3.38569,2.30256,-1.08313,0.0147087,0.00873353,-0.00597522
25,NC,97501,143360,1.47034,6.664e+06,1.0035e+07,4.74306,5.68051,0.937448,0.014631,0.014286,-0.000345003
26,ND,3273,29559,9.03116,638000,757000,1.04735,4.86517,3.81782,0.00513009,0.0390476,0.0339175
27,NE,7757,111788,14.4112,1.221e+06,2.884e+06,1.47611,13.1034,11.6273,0.00635299,0.0387614,0.0324085
28,NH,27230,42680,1.56739,1.112e+06,1.33e+06,10.1812,13.9836,3.80248,0.0244874,0.0320902,0.00760282
29,NJ,25351,63609,2.50913,7.763e+06,8.935e+06,1.12879,2.78054,1.65174,0.00326562,0.00711908,0.00385346
30,NM,5892,16076,2.72845,1.522e+06,2.08e+06,0.987863,2.37967,1.3918,0.00387122,0.00772885,0.00385762
31,NV,3253,12064,3.70858,1.582e+06,1.894e+06,0.807044,1.85732,1.05028,0.00205626,0.00636959,0.00431333
32,NY,97387,126371,1.29762,1.8021e+07,1.9747e+07,2.60709,3.39299,0.785905,0.00540408,0.0063995,0.00099542
33,OH,77705,120744,1.55388,1.0864e+07,1.1605e+07,2.06074,3.22772,1.16698,0.00715252,0.0104045,0.00325196
34,OK,21420,41395,1.93254,3.149e+06,3.907e+06,1.54898,2.53822,0.989235,0.00680216,0.0105951,0.00379293
35,OR,57715,75633,1.31046,2.86e+06,4.025e+06,5.90015,7.90568,2.00553,0.0201801,0.0187908,-0.00138926
36,PA,61362,140059,2.2825,1.1903e+07,1.2792e+07,1.68759,3.6085,1.92091,0.00515517,0.010949,0.00579378
37,RI,4357,6886,1.58045,1.006e+06,1.056e+06,2.04837,3.39778,1.34941,0.00433101,0.00652083,0.00218982
38,SC,72214,116929,1.6192,3.501e+06,4.895e+06,5.71783,7.09311,1.37527,0.0206267,0.0238874,0.00326076
39,SD,3204,62176,19.4057,697000,858000,1.47435,16.2128,14.7385,0.00459684,0.0724662,0.0678694
40,TN,60744,97474,1.60467,4.894e+06,6.595e+06,3.38965,4.49717,1.10752,0.0124119,0.01478,0.00236805
41,TX,98022,215666,2.20018,1.7057e+07,2.743e+07,0.951176,1.67214,0.720964,0.00574673,0.00786241,0.00211568
43,UT,3445,11733,3.40581,1.731e+06,2.991e+06,0.642895,1.48327,0.840377,0.00199018,0.00392277,0.00193259
44,VA,92001,150045,1.63091,6.217e+06,8.368e+06,4.68512,6.33717,1.65204,0.0147983,0.0179308,0.00313251
45,VT,5278,18136,3.43615,565000,626000,4.18397,13.7394,9.55542,0.00934159,0.0289712,0.0196297
46,WA,94426,121494,1.28666,4.903e+06,7.16e+06,4.61396,6.11016,1.4962,0.0192588,0.0169684,-0.00229039
47,WI,82007,129539,1.57961,4.905e+06,5.768e+06,5.52322,7.2931,1.76988,0.0167191,0.0224582,0.00573916
48,WV,5009,25647,5.12018,1.793e+06,1.841e+06,0.710974,3.30965,2.59868,0.00279364,0.013931,0.0111374
49,WY,2173,4634,2.13254,454000,587000,0.544024,0.884756,0.340733,0.00478634,0.00789438,0.00310803
50,US,2.73698e+06,4.51606e+06,1.65001,2.49623e+08,3.20897e+08,3.2388,4.64371,1.40491,0.0109645,0.0140732,0.00310877
